element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Fe	1	"298.18507"	"0.00022"	"298.185110"	"0.000020"	"2690bl*"	""		"2.72754450"	"6.88429230"	"3d7.(2G).4s"	"a 3G"	"4"	"3d6.(1G2).4s.4p.(3P*)"	"v 3H*"	"5"	9	11		""	"L11631"	
Cu	2	"298.1945"	"0.0003"	"298.19449"	"0.00005"	"1400"	""		"14.6478590"	"18.8044761"	"3d8.(3F).4s.4p.(3P*)"	"3F*"	"3"	"3d9.(2D<5/2>).7d"	"2[9/2]"	"4"	7	9		""	"L869c171"	
Fe	1	"298.1970"	"0.0004"	"298.19618"	"0.00003"	"0"	""		"2.45343044"	"6.6100239"	"3d6.4s2"	"a 3H"	"4"	"3d6.(3G).4s.4p.(3P*)"	"y 1H*"	"5"	9	11		""	"L11631c80"	
Fe	1	"298.2015"	"0.0004"	"298.20207"	"0.00015"	"0"	""		"3.24096914"	"7.3974805"	"3d6.(5D).4s.4p.(3P*)"	"z 5D*"	"3"	"3d6.(5D).4p2.(3P)"	"7F"	"4"	7	9		""	"L11631c80"	
Fe	2	"298.20610"	"0.00003"	"298.206129"	"0.000021"	"6000"	"2.4e+07"	D+	"4.47910423"	"8.6355591"	"3d6.(3D).4s"	"b 2D"	"3/2"	"3d6.(3G).4p"	"y 2F*"	"5/2"	4	6		"T6892c83"	"L18349c139"	
Cu	1	"298.2123"	"0.0021"	"298.2136"	"0.0020"	"3h"	""		"5.574734"	"9.731085"	"3d9.(2D).4s.4p.(3P*)"	"2F*"	"7/2"	"3d9.4s.(3D).7s"	"4D"	"5/2"	8	6		""	"L772"	
Fe	1	"298.2228"	"0.0004"	"298.222916"	"0.000020"	"2"	"3.47e+06"	D+	"2.99035244"	"7.14657331"	"3d6.4s2"	"b 3G"	"4"	"3d6.(3D).4s.4p.(3P*)"	"t 3F*"	"3"	9	7		"T5720"	"L11631c80"	
Fe	2	"298.2255"	"0.0005"	"298.225601"	"0.000014"	"700"	"1.2e+06"	D	"3.81430861"	"7.9704921"	"3d6.(3G).4s"	"b 2G"	"7/2"	"3d6.(3F2).4p"	"z 2F*"	"7/2"	8	8		"T6892c83"	"L18349c143"	
Ti	1	"298.2287"	"0.0004"	"298.2285"	"0.0004"	"00"	""		"1.87316703"	"6.029311"	"3d3.(2G).4s"	"a 3G"	"3"	"3d2.4s.(2F).5p"	"3F*"	"3"	7	7		""	"L10989"	
Fe	1	"298.2380"	"0.0004"	"298.2387"	"0.0003"	"0"	""		"3.28302483"	"7.439026"	"3d6.(5D).4s.4p.(3P*)"	"z 5D*"	"1"	"3d6.4s.(6D<3/2>).6d"	"2[3/2]"	"1"	3	3		""	"L11631c80"	
Fe	2	"298.2514"	"0.0005"	"298.251246"	"0.000014"	"120d?"	""		"8.7438237"	"12.8996498"	"3d6.(3G).4p"	"x 2G*"	"7/2"	"3d6.(3H).4d"	"4G"	"5/2"	8	6		""	"L18349c143"	
Ne	2	"298.2538"	"0.0010"	"298.25362"	"0.00006"	"140"	""		"34.63187052"	"38.7876635"	"2s2.2p4.(3P).3d"	"4D"	"3/2"	"2s2.2p4.(3P<2>).5f"	"2[1]*"	"1/2"	4	2		""	"L1406"	
Ti	2	"298.25853"	"0.00018"	"298.258489"	"0.000011"	"5"	""		"3.93732163"	"8.09304682"	"3d2.(3F).4p"	"z 2D*"	"3/2"	"3d2.(3F).4d"	"4D"	"3/2"	4	4		""	"u37"	
Ne	1	"298.26696"	"0.00008"	"298.267039"	"0.000013"	"3000"	"2.63e+05"	C	"16.61907009"	"20.77467615"	"2s2.2p5.(2P*<3/2>).3s"	"2[3/2]*"	"2"	"2s2.2p5.(2P*<3/2>).5p"	"2[5/2]"	"3"	5	7		"T6976"	"L5951"	
Cu	1	"298.2765"	"0.0021"	"298.2754"	"0.0015"	"8h"	""		"5.395050"	"9.550539"	"3d9.(2D).4s.4p.(3P*)"	"4D*"	"7/2"	"3d9.4s.(3D).5d"	"4P"	"5/2"	8	6		""	"L772"	
Cr	2	"298.28054"	"0.00002"	"298.280528"	"0.000018"	"81"	""		"8.36968833"	"12.52510648"	"3d4.(3H).4p"	"z 2I*"	"11/2"	"3d4.(3H).5s"	"e 2H"	"9/2"	12	10		""	"L18847"	
Cu	1	"298.3038"	"0.0021"	"298.3044"	"0.0011"	"3h"	""		"5.505682"	"9.660768"	"3d9.(2D).4s.4p.(3P*)"	"4D*"	"5/2"	"3d9.4s.(3D).5d"	"4F"	"7/2"	6	8		""	"L772"	
Ti	1	"298.3305"	"0.0004"	"298.33031"	"0.00004"	"15+"	"1.1e+07"	C	"0.02109378"	"4.1758186"	"3d2.4s2"	"a 3F"	"3"	"3d3.(4F).4p"	"w 3F*"	"3"	7	7		"T3499n"	"L10989"	
Mn	2	"298.3416"	"0.0006"	"298.34274"	"0.00018"	"3"	""		"6.1282130"	"10.282765"	"3d5.(2G).4s"	"c 3G"	"4"	"3d5.(a 2F).4p"	"w 3F*"	"3"	9	7		""	"L562"	
Fe	1	"298.3419"	"0.0004"	"298.34175"	"0.00003"	"0d"	""		"2.40407444"	"6.5586399"	"3d6.4s2"	"a 3H"	"6"	"3d7.(2H).4p"	"y 3I*"	"5"	13	11		""	"L11631c80"	
Cr	2	"298.35277"	"0.00018"	"298.35297"	"0.00003"	"39"	""		"8.41547321"	"12.5698824"	"3d4.(a 3F).4p"	"x 4D*"	"7/2"	"3d4.(a 3F).5s"	"f 4F"	"9/2"	8	10		""	"L18847"	
Ti	1	"298.3567"	"0.0004"	"298.35568"	"0.00006"	"5"	""		"1.0460073"	"5.2003788"	"3d2.4s2"	"a 3P"	"0"	"3d3.(2P).4p"	"u 3P*"	"1"	1	3		""	"L10989"	
Fe	1	"298.35695"	"0.00003"	"298.356951"	"0.000009"	"r"	"2.79e+07"	A	"0.0000000"	"4.15435379"	"3d6.4s2"	"a 5D"	"4"	"3d7.(4F).4p"	"y 5D*"	"3"	9	7		"T3547"	"L11631"	
Cu	2	"298.37677"	"0.00010"	"298.37658"	"0.00003"	"1100"	""		"14.19758413"	"18.3516646"	"3d9.(2D<5/2>).4d"	"2[1/2]"	"1"	"3d9.(2D<3/2>).5f"	"2[3/2]*"	"1"	3	3		""	"L869c171"	
Fe	1	"298.37752"	"0.00018"	"298.37760"	"0.00003"	"141"	""		"2.75857762"	"6.9126439"	"3d7.(2G).4s"	"a 3G"	"3"	"3d7.(2D2).4p"	"w 1D*"	"2"	7	5		""	"L11631"	
Fe	2	"298.3794"	"0.0005"	"298.379037"	"0.000014"	"120"	""		"9.9408057"	"14.0948520"	"3d6.(5D).5s"	"e 4D"	"3/2"	"3d6.(5D<2>).5f"	"2[1]*"	"3/2"	4	4		""	"L18349c142"	
Fe	1	"298.3856"	"0.0004"	"298.38594"	"0.00013"	"0"	""		"3.26570610"	"7.4196563"	"3d6.(5D).4s.4p.(3P*)"	"z 5D*"	"2"	"3d6.4s.(6D<5/2>).6d"	"2[5/2]"	"2"	5	5		""	"L11631c80"	
Cr	1	"298.4014"	"0.0010"	"298.40205"	"0.00005"	"7"	""		"3.00044215"	"7.1541681"	"3d4.4s2"	"a 3H"	"6"	"3d5.(2F1).4p"	"t 3G*"	"5"	13	11		""	"L808"	
Ni	1	"298.413"	""	"298.41307"	""	"250"	"6.6e+06"	C+	"0.0000000"	"4.1535726"	"3d8.(3F).4s2"	"3F"	"4"	"3d8.(3F).4s.4p.(3P*)"	"3D*"	"3"	9	7		"T4812"	"L3475"	
Fe	2	"298.4178"	"0.0005"	"298.418371"	"0.000014"	"120d?"	"5.3e+06"	D+	"8.7438237"	"12.8973225"	"3d6.(3G).4p"	"x 2G*"	"7/2"	"3d6.(5D).5d"	"4F"	"5/2"	8	6		"T6892c83"	"L18349c143"	
Na	2	"298.4186"	"0.0003"	"298.4174"	"0.0013"	"1300bl*"	"1.74e+07"	B	"32.941315"	"37.094827"	"2s2.2p5.3s"	"3P*"	"1"	"2s2.2p5.3p"	"1D"	"2"	3	5		"T7663"	"L914"	
Na	2	"298.4186"	"0.0003"	"298.4191"	"0.0013"	"1300bl*"	"2.4e+08"	E	"36.967803"	"41.121292"	"2s2.2p5.3p"	"3D"	"1"	"2s2.2p5.(2P*<3/2>).3d"	"2[5/2]*"	"2"	3	5		"T6036c79"	"L914"	
Fe	2	"298.4213"	"0.0005"	"298.421034"	"0.000014"	"100d?"	"1.9e+06"	D+	"8.7179023"	"12.8713640"	"3d6.(3G).4p"	"x 2G*"	"9/2"	"3d6.(5D).5d"	"4F"	"7/2"	10	8		"T6892c83"	"L18349c142"	
Cu	1	"298.4267"	"0.0021"	"298.429"	"0.003"	"5h"	""		"5.505682"	"9.659035"	"3d9.(2D).4s.4p.(3P*)"	"4D*"	"5/2"	"3d9.4s.(3D).5d"	"4D"	"5/2"	6	6		""	"L772"	
Fe	2	"298.4293"	"0.0005"	"298.428642"	"0.000021"	"100d,bl(Fe II)*"	"7.e+05"	D	"9.2500722"	"13.4034281"	"3d6.(3D).4p"	"x 2D*"	"5/2"	"3d6.(3F2).4d"	"2P"	"3/2"	6	4		"T6892c83"	"L18349c143"	
Fe	2	"298.4293"	"0.0005"	"298.429783"	"0.000014"	"100d,bl(Fe II)*"	""		"9.0996679"	"13.2530078"	"3d5.4s2"	"4F"	"9/2"	"3d6.(5D).6p"	"6F*"	"11/2"	10	12		""	"L18349c143"	
Fe	2	"298.4375"	"0.0005"	"298.436919"	"0.000014"	"80d?"	""		"9.7002396"	"13.8534803"	"3d6.(5D).5s"	"e 6D"	"7/2"	"3d6.(3H).5p"	"4H*"	"7/2"	8	8		""	"L18349c143"	
Fe	1	"298.4557"	"0.0004"	"298.456111"	"0.000020"	"5"	""		"2.83252676"	"6.98550035"	"3d6.(5D).4s.4p.(3P*)"	"z 7F*"	"5"	"3d6.4s.(6D).5d"	"5G"	"6"	11	13		""	"L11631c80"	
Mn	2	"298.4593"	"0.0006"	"298.45972"	"0.00018"	"60"	"7.9e+06"	D+	"4.1097923"	"8.2627156"	"3d5.(4G).4s"	"a 3G"	"5"	"3d5.(4G).4p"	"z 5F*"	"4"	11	9		"T7259"	"L562"	
Cr	2	"298.47032"	"0.00007"	"298.470442"	"0.000012"	"26"	""		"3.75763463"	"7.91040883"	"3d4.(a 3P).4s"	"b 4P"	"3/2"	"3d4.(a 3P).4p"	"y 4D*"	"1/2"	4	2		""	"L18847"	
Fe	1	"298.47679"	"0.00003"	"298.476794"	"0.000013"	"2450"	"2.58e+05"	B	"0.85899575"	"5.01168158"	"3d7.(4F).4s"	"a 5F"	"5"	"3d5.(6S).4s2.4p"	"y 7P*"	"4"	11	9		"T5720"	"L11631"	
Cr	1	"298.48229"	"0.00014"	"298.48214"	"0.00004"	"29"	""		"0.94143042"	"5.0940418"	"3d5.(6S).4s"	"a 5S"	"2"	"3d4.(5D).4s.4p.(1P*)"	"y 5F*"	"3"	5	7		""	"L14866"	
Fe	2	"298.482516"	"0.000014"	"298.482518"	"0.000014"	"100000"	"4.3e+07"	C	"1.67061856"	"5.82322475"	"3d7"	"a 4P"	"5/2"	"3d6.(5D).4p"	"z 4P*"	"5/2"	6	6		"T7589"	"L18349c139"	
Fe	2	"298.4890"	"0.0003"	"298.488819"	"0.000014"	"500"	"6.e+05"	D	"3.38661825"	"7.5391368"	"3d6.(3F2).4s"	"a 2F"	"7/2"	"3d6.(3H).4p"	"z 4G*"	"9/2"	8	10		"T6892c83"	"L18349c139"	
Fe	1	"298.4952"	"0.0004"	"298.494654"	"0.000020"	"3bl"	""		"2.60850194"	"6.76093930"	"3d6.4s2"	"b 3F2"	"2"	"3d7.(4F).5p"	"5D*"	"2"	5	5		""	"L11631c80"	
Fe	2	"298.49619"	"0.00005"	"298.496179"	"0.000015"	"1900"	"5.4e+07"	C+	"8.3070070"	"12.4594232"	"3d6.(3F2).4p"	"y 2D*"	"5/2"	"3d6.(3F2).5s"	"e 2F"	"7/2"	6	8		"T6892c83"	"L18349c139"	
Fe	2	"298.5091"	"0.0005"	"298.509112"	"0.000014"	"250"	"6.e+05"	D	"7.11806748"	"11.2703037"	"3d5.4s2"	"d 4P"	"5/2"	"3d6.(5D).5p"	"4P*"	"5/2"	6	6		"T6892c83"	"L18349c143"	
Mn	2	"298.5120"	"0.0006"	"298.5128"	"0.0004"	"15"	""		"6.5363112"	"10.688497"	"3d6"	"c 3P"	"0"	"3d5.(4F).4p"	"v 3D*"	"1"	1	3		""	"L562"	
Fe	1	"298.5168"	"0.0004"	"298.51718"	"0.00018"	"1"	""		"3.28302483"	"7.4351489"	"3d6.(5D).4s.4p.(3P*)"	"z 5D*"	"1"	"3d6.4s.(6D<3/2>).6d"	"2[1/2]"	"1"	3	3		""	"L11631c80"	
Cr	2	"298.532043"	"0.000006"	"298.532036"	"0.000011"	"730"	"2.2e+08"	D	"3.74665105"	"7.89856848"	"3d4.(3H).4s"	"a 4H"	"9/2"	"3d4.(3H).4p"	"z 4H*"	"9/2"	10	10		"T3683"	"L18847"	
Ti	1	"298.5481"	"0.0004"	"298.54752"	"0.00004"	"11"	""		"0.02109378"	"4.1727959"	"3d2.4s2"	"a 3F"	"3"	"3d3.(4F).4p"	"w 3F*"	"2"	7	5		""	"L10989"	
Fe	2	"298.554532"	"0.000014"	"298.554538"	"0.000015"	"40000"	"2.39e+07"	B	"1.72398297"	"5.87558748"	"3d7"	"a 4P"	"1/2"	"3d6.(5D).4p"	"z 4P*"	"3/2"	2	4		"T7589"	"L18349c139"	
Fe	2	"298.5637"	"0.0005"	"298.563967"	"0.000014"	"600?"	"1.2e+06"	D	"5.54876624"	"9.7002396"	"3d6.(5D).4p"	"z 4F*"	"7/2"	"3d6.(5D).5s"	"e 6D"	"7/2"	8	8		"T6892c83"	"L18349c143"	
Fe	1	"298.57279"	"0.00018"	"298.572600"	"0.000013"	"170"	""		"2.58810592"	"6.73945929"	"3d6.4s2"	"b 3F2"	"3"	"3d7.(4F).5p"	"3G*"	"3"	7	7		""	"L11631"	
Cr	1	"298.58493"	"0.00002"	"298.584907"	"0.000011"	"280"	""		"0.98287742"	"5.13405969"	"3d4.4s2"	"a 5D"	"2"	"3d4.(5D).4s.4p.(1P*)"	"y 5D*"	"2"	5	5		""	"L14866"	
Fe	1	"298.5901"	"0.0004"	"298.59003"	"0.00015"	"1"	""		"3.26570610"	"7.4168171"	"3d6.(5D).4s.4p.(3P*)"	"z 5D*"	"2"	"3d6.4s.(6D<5/2>).6d"	"2[5/2]"	"3"	5	7		""	"L11631c80"	
Cu	1	"298.5926"	"0.0021"	"298.5924"	"0.0013"	"10h"	""		"5.153147"	"9.304224"	"3d9.(2D).4s.4p.(3P*)"	"4F*"	"5/2"	"3d9.4s.(3D).6s"	"4D"	"3/2"	6	4		""	"L772"	
Cr	1	"298.59998"	"0.0003"	"298.599428"	"0.000013"	"310q"	""		"1.00367492"	"5.15465532"	"3d4.4s2"	"a 5D"	"3"	"3d4.(5D).4s.4p.(1P*)"	"y 5D*"	"3"	7	7		""	"L14866"	
Ne	2	"298.60615"	"0.00018"	"298.60622"	"0.00004"	"160"	""		"34.63187052"	"38.7827565"	"2s2.2p4.(3P).3d"	"4D"	"3/2"	"2s2.2p4.(3P<2>).5f"	"2[2]*"	"3/2"	4	4		""	"L5951"	
Cr	1	"298.61353"	"0.00002"	"298.613530"	"0.000014"	"99"	""		"0.96841324"	"5.11919762"	"3d4.4s2"	"a 5D"	"1"	"3d4.(5D).4s.4p.(1P*)"	"y 5D*"	"1"	3	3		""	"L14866"	
Cu	2	"298.63345"	"0.00008"	"298.63327"	"0.00003"	"5700"	""		"14.19758413"	"18.3480941"	"3d9.(2D<5/2>).4d"	"2[1/2]"	"1"	"3d9.(2D<3/2>).5f"	"2[3/2]*"	"2"	3	5		""	"L869c171"	
Fe	2	"298.63435"	"0.00008"	"298.634420"	"0.000016"	"1000"	"4.1e+07"	C+	"8.3408923"	"12.4913863"	"3d6.(3F2).4p"	"y 2D*"	"3/2"	"3d6.(3F2).5s"	"e 2F"	"5/2"	4	6		"T6892c83"	"L18349c139"	
Mn	2	"298.6393"	"0.0006"	"298.6399"	"0.0003"	"5"	""		"4.6925818"	"8.842999"	"3d6"	"a 3D"	"2"	"3d5.(4D).4p"	"x 5P*"	"2"	5	5		""	"L562"	
Na	2	"298.6451"	"0.0003"	""	""	"300"	""		""	""	""	""	""	""	""	""				""	"L914"	
Fe	1	"298.64557"	"0.00003"	"298.645581"	"0.000013"	"3800"	"2.19e+05"	A	"0.11011433"	"4.26045326"	"3d6.4s2"	"a 5D"	"1"	"3d6.(5D).4s.4p.(3P*)"	"z 3P*"	"1"	3	3		"T3547"	"L11631"	
Cr	1	"298.64810"	"0.0009"	"298.647232"	"0.000011"	"430q"	""		"1.03000806"	"5.18032406"	"3d4.4s2"	"a 5D"	"4"	"3d4.(5D).4s.4p.(1P*)"	"y 5D*"	"4"	9	9		""	"L14866"	
Hg	2	"298.6592"	"0.0004"	"298.65889"	"0.00013"	"80h"	"1.1e+05"		"13.1689890"	"17.3191429"	"5d9.6s.6p"	"(2D<5/2>,1P<1>)*"	"7/2"	"5d10.9d"	"2D"	"5/2"	8	6		"T7226"	"L11760"	
Fe	2	"298.6609"	"0.0005"	"298.661091"	"0.000014"	"900"	""		"3.42449356"	"7.5746170"	"3d6.(3F2).4s"	"a 2F"	"5/2"	"3d6.(3P2).4p"	"z 2D*"	"5/2"	6	6		""	"L18349c143"	
Ti	1	"298.6631"	"0.0004"	"298.6623"	"0.0004"	"0"	""		"1.87920395"	"6.029311"	"3d3.(2G).4s"	"a 3G"	"4"	"3d2.4s.(2F).5p"	"3F*"	"3"	9	7		""	"L10989"	
Fe	1	"298.66544"	"0.00013"	"298.665371"	"0.000020"	"302"	""		"2.43269470"	"6.58275864"	"3d6.4s2"	"a 3H"	"5"	"3d7.(2H).4p"	"1I*"	"6"	11	13		""	"L11631"	
Mn	2	"298.6679"	"0.0006"	"298.6691"	"0.0003"	"1"	""		"4.6929866"	"8.842999"	"3d6"	"a 3D"	"3"	"3d5.(4D).4p"	"x 5P*"	"2"	7	5		""	"L562"	
Mn	2	"298.6797"	"0.0015"	"298.67950"	"0.00018"	"0"	""		"6.1328970"	"10.282765"	"3d5.(2G).4s"	"c 3G"	"3"	"3d5.(a 2F).4p"	"w 3F*"	"3"	7	7		""	"L562"	
Ti	1	"298.6890"	"0.0004"	"298.68860"	"0.00005"	"3"	""		"1.42975614"	"5.5794973"	"3d3.(4F).4s"	"b 3F"	"2"	"3d3.(4F).5p"	"3G*"	"3"	5	7		""	"L10989"	
Fe	2	"298.6915"	"0.0005"	"298.691335"	"0.000016"	"700d?"	""		"3.88869686"	"8.0384001"	"3d6.(3D).4s"	"b 4D"	"3/2"	"3d6.(3P2).4p"	"z 2P*"	"3/2"	4	4		""	"L18349c143"	
Fe	1	"298.7032"	"0.0004"	"298.703085"	"0.000020"	"0"	""		"2.58810592"	"6.73764589"	"3d6.4s2"	"b 3F2"	"3"	"3d7.(4F).5p"	"3D*"	"2"	7	5		""	"L11631c80"	
Fe	1	"298.7055"	"0.0004"	"298.70583"	"0.00003"	"0"	""		"3.30140276"	"7.4509047"	"3d7.(2H).4s"	"b 3H"	"4"	"3d6.(3F2).4s.4p.(1P*)"	"3F*"	"4"	9	9		""	"L11631c80"	
Na	2	"298.7213"	"0.0003"	"298.7218"	"0.0013"	"300"	""		"41.126538"	"45.275818"	"2s2.2p5.(2P*<3/2>).3d"	"2[5/2]*"	"3"	"2s2.2p5.(2P*<1/2>).5f"	"2[5/2]"	"3"	7	7		""	"L914"	
Cu	2	"298.72351"	"0.00007"	"298.72353"	"0.00005"	"1400"	""		"14.97602760"	"19.1252836"	"3d9.(2D<5/2>).5p"	"2[7/2]*"	"4"	"3d9.(2D<5/2>).9s"	"2[5/2]"	"3"	9	7		""	"L869c171"	
Fe	1	"298.72903"	"0.00022"	"298.72946"	"0.00003"	"12900bl"	""		"2.85122419"	"7.0003978"	"3d6.(5D).4s.4p.(3P*)"	"z 7F*"	"4"	"3d6.4s.(6D).5d"	"7P"	"3"	9	7		""	"L11631"	
Fe	1	"298.72904"	"0.00003"	"298.729033"	"0.000013"	"12300"	"5.25e+06"	C+	"0.91460217"	"5.06378173"	"3d7.(4F).4s"	"a 5F"	"4"	"3d6.(5D).4s.4p.(1P*)"	"x 5F*"	"3"	9	7		"T5720"	"L11631"	
Ti	2	"298.738"	"0.002"	"298.737134"	"0.000011"	"3"	""		"1.08416006"	"5.23322711"	"3d2.(1D).4s"	"a 2D"	"5/2"	"3d2.(3P).4p"	"z 4P*"	"5/2"	6	6		""	"L5432"	
Ti	1	"298.7420"	"0.0004"	"298.74192"	"0.00008"	"1"	""		"1.8870882"	"6.0360889"	"3d3.(2G).4s"	"a 3G"	"5"	"3d2.4s.(2F).5p"	"3G*"	"4"	11	9		""	"L10989"	
Fe	1	"298.7429"	"0.0004"	"298.743380"	"0.000013"	"0d?"	""		"2.43269470"	"6.58167501"	"3d6.4s2"	"a 3H"	"5"	"3d7.(4F).5p"	"5F*"	"5"	11	11		""	"L11631c80"	
Fe	2	"298.7512"	"0.0005"	"298.750745"	"0.000014"	"170d?"	"2.7e+06"	D+	"8.0381375"	"12.1870155"	"3d6.(3F2).4p"	"y 2G*"	"9/2"	"3d6.(3H).5s"	"e 4H"	"11/2"	10	12		"T6892c83"	"L18349c143"	
Fe	2	"298.75347"	"0.00008"	"298.753549"	"0.000014"	"800"	"5.5e+06"	D+	"8.7438237"	"12.8926628"	"3d6.(3G).4p"	"x 2G*"	"7/2"	"3d6.(3H).4d"	"4H"	"7/2"	8	8		"T6892c83"	"L18349c139"	
Si	1	"298.7645"	""	"298.76434"	""	"150"	"2.66e+06"	D+	"0.7809579"	"4.9296471"	"3s2.3p2"	"1D"	"2"	"3s2.3p.4s"	"3P*"	"1"	5	3		"T5814"	"L3521"	
Fe	2	"298.77885"	"0.00008"	"298.778925"	"0.000014"	"800"	"8.8e+07"	C+	"8.7438237"	"12.8923104"	"3d6.(3G).4p"	"x 2G*"	"7/2"	"3d6.(3G).5s"	"e 2G"	"7/2"	8	8		"T6892c83"	"L18349c139"	
Ti	1	"298.7965"	"0.0004"	"298.79591"	"0.00007"	"4"	""		"1.44315262"	"5.5914035"	"3d3.(4F).4s"	"b 3F"	"3"	"3d3.(4F).5p"	"3G*"	"4"	7	9		""	"L10989"	
Cr	2	"298.80520"	"0.00002"	"298.805154"	"0.000012"	"57"	""		"3.76810682"	"7.91622942"	"3d4.(3H).4s"	"a 4H"	"13/2"	"3d4.(3H).4p"	"z 4H*"	"11/2"	14	12		""	"L18847"	
Ne	2	"298.8070"	"0.0010"	"298.80721"	"0.00006"	"22"	""		"34.7480986"	"38.8961927"	"2s2.2p4.(3P).3d"	"2F"	"7/2"	"2s2.2p4.(3P<0>).5f"	"2[3]*"	"7/2"	8	8		""	"L1406"	
Fe	1	"298.8187"	"0.0004"	"298.818740"	"0.000020"	"0bl?"	""		"2.85122419"	"6.99915820"	"3d6.(5D).4s.4p.(3P*)"	"z 7F*"	"4"	"3d6.4s.(6D).5d"	"7D"	"4"	9	9		""	"L11631c80"	
Mn	2	"298.8426"	"0.0006"	"298.8429"	"0.0003"	"5"	""		"6.1328970"	"10.280496"	"3d5.(2G).4s"	"c 3G"	"3"	"3d5.(a 2F).4p"	"w 3F*"	"2"	7	5		""	"L562"	
Fe	1	"298.84711"	"0.00003"	"298.847156"	"0.000013"	"1550"	"5.44e+05"	B+	"1.48486439"	"5.63240401"	"3d7.(4F).4s"	"a 3F"	"4"	"3d6.(3H).4s.4p.(3P*)"	"y 3G*"	"4"	9	9		"T5720"	"L11631"	
Mn	2	"298.8491"	"0.0006"	"298.8441"	"0.0003"	"2i"	""		"4.688076"	"8.835658"	"3d6"	"a 3D"	"1"	"3d5.(4D).4p"	"x 5P*"	"1"	3	3		""	"L562"	
Cr	1	"298.86474"	"0.00002"	"298.864712"	"0.000008"	"310"	"5.2e+07"	C	"0.94143042"	"5.08872640"	"3d5.(6S).4s"	"a 5S"	"2"	"3d4.(5D).4s.4p.(1P*)"	"x 5P*"	"3"	5	7		"T3196"	"L14866"	
Fe	1	"298.8783"	"0.0004"	"298.878223"	"0.000020"	"0"	""		"2.93984587"	"7.08695439"	"3d6.(5D).4s.4p.(3P*)"	"z 7P*"	"4"	"3d6.4s.(6D).5d"	"5P"	"3"	9	7		""	"L11631c80"	
Fe	1	"298.88824"	"0.00018"	"298.888043"	"0.000013"	"182"	""		"2.27860466"	"6.42557692"	"3d6.4s2"	"a 3P2"	"2"	"3d7.(2H).4p"	"u 3G*"	"3"	5	7		""	"L11631"	
Ne	2	"298.88832"	"0.00013"	"298.88831"	"0.00004"	"160"	""		"34.63187052"	"38.7788391"	"2s2.2p4.(3P).3d"	"4D"	"3/2"	"2s2.2p4.(3P<2>).5f"	"2[3]*"	"5/2"	4	6		""	"L5951"	
Fe	1	"298.89430"	"0.00018"	"298.89438"	"0.00003"	"100"	"7.99e+05"	D+	"2.72754450"	"6.8744289"	"3d7.(2G).4s"	"a 3G"	"4"	"3d6.(1G2).4s.4p.(3P*)"	"v 3H*"	"4"	9	9		"T5720"	"L11631"	
Cu	1	"298.9010"	"0.0021"	"298.9003"	"0.0013"	"2h"	""		"5.395050"	"9.541852"	"3d9.(2D).4s.4p.(3P*)"	"4D*"	"7/2"	"3d9.4s.(3D).5d"	"2F"	"7/2"	8	8		""	"L772"	
Fe	2	"298.9068"	"0.0005"	"298.905658"	"0.000016"	"600bl(Fe II)?*"	""		"9.0076893"	"13.1544172"	"3d6.(3D).4p"	"w 4D*"	"7/2"	"3d6.(3F2).4d"	"2H"	"9/2"	8	10		""	"L18349c143"	
Fe	2	"298.9068"	"0.0005"	"298.906336"	"0.000014"	"600bl(Fe II)?*"	"7.e+05"	D	"5.58919550"	"9.7359140"	"3d6.(5D).4p"	"z 4F*"	"5/2"	"3d6.(5D).5s"	"e 6D"	"5/2"	6	6		"T6892c83"	"L18349c143"	
Fe	1	"298.9161"	"0.0004"	"298.916517"	"0.000013"	"0?"	""		"2.93984587"	"7.08642312"	"3d6.(5D).4s.4p.(3P*)"	"z 7P*"	"4"	"3d6.4s.(6D).5d"	"7G"	"4"	9	9		""	"L11631c80"	
Fe	2	"298.9181"	"0.0005"	"298.918949"	"0.000014"	"40d?"	""		"11.0164343"	"15.1629778"	"3d6.(5D).5p"	"6D*"	"7/2"	"3d6.(3H).6s"	"4H"	"7/2"	8	8		""	"L18349c142"	
Cr	2	"298.918973"	"0.000006"	"298.918970"	"0.000012"	"650"	"2.2e+08"	D	"3.73895849"	"7.88550172"	"3d4.(3H).4s"	"a 4H"	"7/2"	"3d4.(3H).4p"	"z 4H*"	"7/2"	8	8		"T3683"	"L18847"	
Fe	2	"298.9384"	"0.0005"	"298.937634"	"0.000018"	"250d?"	""		"3.88869686"	"8.0349812"	"3d6.(3D).4s"	"b 4D"	"3/2"	"3d6.(3P2).4p"	"z 2P*"	"1/2"	4	2		""	"L18349c142"	
Fe	1	"298.9487"	"0.0004"	"298.94881"	"0.00009"	"(0)?"	""		"3.26570610"	"7.4118354"	"3d6.(5D).4s.4p.(3P*)"	"z 5D*"	"2"	"3d6.4s.(6D<5/2>).6d"	"2[3/2]"	"2"	5	5		""	"L11631c81"	
Mn	2	"298.9732"	"0.0006"	"298.97303"	"0.00017"	"60"	"1.3e+06"	D+	"4.122308"	"8.2681019"	"3d5.(4G).4s"	"a 3G"	"4"	"3d5.(4G).4p"	"z 5F*"	"3"	9	7		"T7259"	"L562"	
